in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
y,y,both,y,1,flower,seed,Trifolium hirtum,,TRIHIR,TRHI4,Fabaceae,forb,invasive,2021,,,,0.6968,,39.3016394,-121.2929935,384,,,SFREC,SFREC-12,wild,,,,,
y,y,both,,1-2,seed,seed,Trifolium microcephalum,,TRIMIC,TRMI4,Fabaceae,forb,native,1998,14.3,,,0.163633947,196,34.12841,-118.85673,323,,22398,CBG,CBG-22398,wild,,,,,
y,y,morph,,1-2,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,2011,,,,3.02,,38.86398651,-122.4050322,655,location estimate,,MCL-ML,MCL-ML-42,wild,x,,,,
y,y,,,,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,1998,,,,0.018542636,13,34.13948,-118.85686,290,,22397,CBG,CBG-22397,wild,,,,,
y,y,chem,,1-2,seed,seed,Trifolium willdenovii,Trifolium tridentatum,TRIWIL,TRWI3,Fabaceae,forb,native,2020,86,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-44,cultivated,,x,,,
y,y,both,,1,seed,seed,Tropidocarpum gracile,,TROGRA,TRGR5,Asteraceae,forb,native,2019,,,,0.1077,,,,,,,CP,CP-10,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2015,,,,0.5,,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-25,wild,,,,,
y,y,,,,,,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2003,0,,,1.199979075,600,34.43333,-117.58666,1250,,21039,CBG,CBG-21039,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2020,,,,0.4048,,,,,,,CP,CP-22,wild,,,,,
,n,,,,,,Velezia rigida,,VELRIG,VERI,Caryophyllaceae,forb,invasive,2017,,,,,,,,,,,MCL-EE,MCL-EE-56,wild,,,,only one maternal family,
y,y,both,,1,seed,seed,Vicia villosa,,VICVIL,VIVI,Fabaceae,forb,invasive,2021,,,,6.92,,38.87214352,-122.4276984,657,,,MCL-ML,MCL-ML-31,wild,x,x,,,
,,,,,,,Vicia villosa,,VICVIL,VIVI,Fabaceae,forb,invasive,,,,,,,,,,,,MCL-EE,MCL-EE-57,wild,,,,have another acc,
y,y,both,y,1,achene + pappus,achene,Volutaria tubuliflora,,VOLTUB,,Asteraceae,forb,invasive,2015,,,,0.16,140,33.260428,-116.348116,165,,,DW,DW-23,wild,,,,,
y,y,morph,,1,achene + pappus,achene,Xanthisma gracile,Machaeranthera gracilis,XANGRA,MAGR10,Asteraceae,forb,native,2005,42,,,0.1356,200,33.41417,-112.37333,2133,,W6 30964,GRIN,GRIN-W6-30964,wild,,,,,
y,y,chem,,1,achene,achene,Xanthisma gracile,Machaeranthera gracilis,XANGRA,MAGR10,Asteraceae,forb,native,2012,77,,,0.125,200,34.5407,-111.82628,951,,W6 43852,GRIN,GRIN-W6-43852,wild,,,,collected before 2012,
y,y,both,,1,seed,seed,Zeltnera trichantha,Centaurium trichanthum,ZELTRI,CETR2,Gentianaceae,forb,native,2016,,,,0.1767,,38.86973285,-122.4279027,672,location approximate,,MCL-ML,MCL-ML-13,wild,,,x,,
,,,,,,,Zeltnera trichantha,Centaurium trichanthum,ZELTRI,CETR2,Gentianaceae,forb,native,2019,,,,,,38.87046,-122.42802,,,,MCL-EE,MCL-EE-58,wild,,,,have another acc,
y,y,both,y,many,legume,seed,Medicago polymorpha,,MEDPOL,MEPO3,Fabaceae,forb,invasive,2022,,,,,,38.839138,-122.344017,,,,MCL-ML,MCL-ML-43,wild,,,,,
